Loại cây trồng,Nhiệt độ (°C),Lượng mưa (mm),Độ ẩm (%),Loại đất,Lượng phân bón (kg/ha),Kỹ thuật canh tác,Năng suất dự báo (tấn/ha)
Lúa,39.36,287.56,58.99,Cát,139.85,Công nghệ cao,24.91
Khoai,39.66,161.5,83.17,Sét,67.24,Công nghệ cao,15.97
Mía,32.45,96.28,65.95,Thịt,64.08,Công nghệ cao,14.44
Lúa,28.4,185.48,63.96,Cát,186.44,Truyền thống,27.83
Sắn,22.74,268.24,41.28,Cát,150.38,Truyền thống,25.05
Đậu tương,35.34,233.06,57.06,Cát,174.39,Truyền thống,27.75
Lúa,32.12,251.64,59.01,Phù sa,181.85,Công nghệ cao,28.79
Khoai,19.07,214.7,59.94,Thịt,135.77,Truyền thống,21.96
Cà phê,37.77,223.07,69.01,Thịt,127.62,Công nghệ cao,23.71
Mía,35.56,262.3,66.68,Sét,114.56,Truyền thống,23.07
Hồ tiêu,38.74,112.42,70.4,Thịt,97.54,Truyền thống,17.94
Khoai,33.14,172.36,78.24,Thịt,115.19,Công nghệ cao,20.95
Lúa,30.34,105.3,80.65,Cát,166.08,Truyền thống,23.88
Mía,25.46,296.92,75.91,Sét,140.29,Truyền thống,25.77
Đậu tương,38.32,286.01,87.78,Thịt,183.88,Công nghệ cao,30.94
Lúa,36.65,59.86,40.91,Phù sa,116.51,Truyền thống,17.88
Khoai,16.13,226.39,49.79,Thịt,141.06,Công nghệ cao,23.5
Ngô,15.66,281.31,40.38,Cát,144.7,Truyền thống,23.92
Sắn,24.41,95.14,72.37,Phù sa,138.75,Truyền thống,21.45
Hồ tiêu,35.26,191.99,84.9,Cát,155.4,Truyền thống,25.18
Cà phê,39.68,278.87,52.17,Thịt,85.62,Truyền thống,19.68
Khoai,18.76,58.49,86.35,Phù sa,126.85,Truyền thống,19.3
Mía,29.85,224.36,43.01,Sét,65.63,Truyền thống,15.95
Hồ tiêu,24.52,124.34,86.72,Sét,107.68,Truyền thống,18.9
Hồ tiêu,39.25,281.1,57.58,Phù sa,123.15,Truyền thống,23.56
Hồ tiêu,36.05,292.76,45.07,Phù sa,147.83,Công nghệ cao,26.21
Lúa,35.96,286.07,64.29,Cát,192.58,Công nghệ cao,30.49
Sắn,26.72,168.55,52.84,Phù sa,140.1,Truyền thống,21.5
Lúa,25.37,265.51,54.24,Cát,161.54,Truyền thống,27.23
Mía,21.84,261.14,55.36,Thịt,125.94,Công nghệ cao,23.26
Lúa,16.41,129.78,80.15,Cát,145.12,Truyền thống,21.69
Ngô,36.62,257.23,66.96,Phù sa,60.64,Truyền thống,17.39
Sắn,35.32,59.25,55.57,Phù sa,88.16,Công nghệ cao,15.18
Sắn,39.99,199.07,70.52,Thịt,104.28,Truyền thống,20.66
Mía,39.92,107.5,75.81,Phù sa,120.87,Truyền thống,20.65
Cà phê,28.89,80.14,53.63,Phù sa,56.85,Công nghệ cao,12.22
Ngô,34.22,69.24,60.68,Sét,71,Truyền thống,13.62
Khoai,38.62,224.07,46.09,Sét,91.52,Truyền thống,18.6
Lúa,36.24,134.97,49.06,Thịt,195.73,Công nghệ cao,27.1
Đậu tương,21.18,231.19,74.06,Cát,99.7,Truyền thống,19.46
Lúa,26.26,66.34,49.07,Sét,122.31,Công nghệ cao,18.31
Hồ tiêu,18.23,128.82,66.26,Cát,79.41,Truyền thống,15.06
Lúa,38.85,184.87,75.45,Phù sa,141.62,Truyền thống,24.41
Khoai,30.15,247.68,45.34,Sét,92.1,Công nghệ cao,19.77
Lúa,20.72,129.69,68.37,Thịt,81.05,Công nghệ cao,15.5
Ngô,31.79,206.47,52.83,Thịt,127.49,Truyền thống,22.17
Ngô,30.45,271.49,88.15,Thịt,50.83,Công nghệ cao,16.93
Sắn,23.95,203.97,64.18,Sét,51.15,Công nghệ cao,14.55
Mía,17.84,108.24,80.3,Cát,82.86,Truyền thống,15.79
Cà phê,31.79,56.1,67.51,Phù sa,55.51,Truyền thống,12.66
Đậu tương,28.01,267.52,42.17,Cát,66.2,Truyền thống,16.88
Hồ tiêu,34.31,55.32,71.66,Cát,100.83,Công nghệ cao,16.44
Lúa,28,268.68,87.57,Phù sa,170.39,Công nghệ cao,28.87
Lúa,36.3,182.23,70.08,Phù sa,135.81,Công nghệ cao,23.59
Khoai,28.8,284.77,80.96,Sét,126.9,Công nghệ cao,23.87
Mía,29.02,249.7,84.21,Sét,94.02,Truyền thống,20.39
Ngô,36.92,299.48,51.4,Sét,189.76,Công nghệ cao,30.7
Đậu tương,25.09,137.68,50.6,Sét,109.55,Truyền thống,18.38
Sắn,18.35,241.8,70.55,Sét,63.06,Công nghệ cao,16.71
Ngô,15.72,150.48,60.55,Phù sa,142.56,Truyền thống,23.05
Hồ tiêu,33.88,169.97,81.99,Cát,67.08,Truyền thống,15.87
Mía,30.51,206.88,85,Sét,101.78,Truyền thống,19.7
Hồ tiêu,32.6,268.42,57.67,Sét,126.11,Công nghệ cao,23.49
Cà phê,20.32,296.02,51.84,Cát,181.13,Truyền thống,28.97
Sắn,18.41,242.07,79.03,Sét,124.03,Truyền thống,22.42
Cà phê,15.36,154.44,53.74,Cát,155.34,Công nghệ cao,23.73
Khoai,23.76,155.34,81.13,Cát,198.92,Truyền thống,27.95
Hồ tiêu,29.75,234.4,61.19,Phù sa,69.72,Công nghệ cao,17.33
Khoai,24.81,109.69,73.38,Thịt,91.21,Công nghệ cao,16.45
Lúa,25.94,77.62,44.78,Phù sa,109.19,Truyền thống,17.97
Cà phê,37.6,138.66,71.19,Thịt,113.27,Truyền thống,21.11
Mía,23.71,121.81,62.59,Thịt,111.65,Công nghệ cao,18.28
Hồ tiêu,27.85,124.08,69.33,Thịt,186.14,Truyền thống,26.29
Đậu tương,34.59,108.4,48.4,Sét,157.1,Công nghệ cao,23.49
Sắn,24.91,60.52,76.84,Phù sa,141.19,Công nghệ cao,20.69
Ngô,30.55,54.47,83.14,Thịt,96.41,Công nghệ cao,16.73
Mía,36.56,296.93,50.84,Cát,173.57,Truyền thống,28.66
Mía,38.74,156.94,44.79,Sét,193.26,Công nghệ cao,26.79
Khoai,18.68,146.08,41.18,Phù sa,173.18,Truyền thống,24.4
Cà phê,38.16,219.91,72.1,Thịt,50.23,Truyền thống,15.15
Hồ tiêu,27.3,104.56,70.35,Cát,145.46,Truyền thống,21.87
Hồ tiêu,21.46,287.49,67.33,Phù sa,57.67,Truyền thống,17.33
Lúa,26.48,246.59,51.6,Phù sa,88.64,Công nghệ cao,18.04
Lúa,39.5,72.35,59.55,Sét,58.93,Truyền thống,13.51
Sắn,27.32,154.4,69.72,Phù sa,140.57,Công nghệ cao,22.46
Khoai,23.22,269.78,64.84,Sét,152.99,Công nghệ cao,25.66
Mía,30.84,286.18,89.39,Thịt,67.17,Truyền thống,19.06
Hồ tiêu,21,166.85,46.82,Sét,107.58,Công nghệ cao,18.72
Đậu tương,16.9,203.35,74.76,Cát,118.44,Công nghệ cao,21.28
Khoai,18.22,91.76,60.22,Sét,105.36,Truyền thống,17.57
Sắn,18.2,297.79,61.41,Cát,68.15,Công nghệ cao,17.36
Sắn,18.8,107.92,75.88,Sét,112.84,Công nghệ cao,18.35
Khoai,18.47,285.68,74.62,Phù sa,162.68,Công nghệ cao,26.6
Sắn,31.02,212.41,89.56,Thịt,60.65,Công nghệ cao,16.14
Khoai,19.55,201.93,46.42,Cát,62.03,Truyền thống,16.09
Ngô,23.64,178.17,45.21,Sét,103.22,Công nghệ cao,19.05
Khoai,37.42,107.67,76.22,Sét,191.26,Công nghệ cao,26.76
Cà phê,26.85,94.13,68.92,Sét,150.29,Công nghệ cao,21.66
Khoai,31.69,105.12,53.71,Phù sa,151.8,Công nghệ cao,22.72
Sắn,19.31,96.61,43.97,Phù sa,104.29,Truyền thống,16.92
Hồ tiêu,19.81,244.9,44.28,Cát,139.05,Công nghệ cao,23.4
Cà phê,16.02,137.53,84.71,Cát,51.52,Truyền thống,13.12
Sắn,19.22,64.46,49.59,Phù sa,145.41,Công nghệ cao,20.22
Lúa,21.96,292.28,56.17,Cát,186.99,Truyền thống,29.49
Lúa,19.43,270.95,51.33,Thịt,141.89,Truyền thống,24.16
Hồ tiêu,17.22,281.94,57.75,Thịt,181.05,Truyền thống,27.23
Hồ tiêu,18.02,298.73,43.47,Phù sa,158.6,Truyền thống,25.92
Cà phê,26.52,93.47,65.95,Cát,68.08,Truyền thống,13.56
Ngô,20.16,149.06,43.38,Sét,185.37,Công nghệ cao,25.92
Hồ tiêu,24.11,239.56,80.02,Thịt,59.97,Công nghệ cao,17.89
Lúa,27.59,224.01,51.69,Phù sa,130.1,Công nghệ cao,22.6
Khoai,32.26,88.47,67,Cát,71.32,Truyền thống,14.37
Sắn,15.98,253.96,84,Phù sa,51.76,Công nghệ cao,16.04
Lúa,34.99,106.11,72.54,Sét,113.31,Truyền thống,19.62
Lúa,30.7,105.95,66.65,Thịt,94.26,Truyền thống,17.29
Ngô,17.04,184.24,56.22,Phù sa,122.9,Công nghệ cao,20.82
Cà phê,36.84,198.23,56.65,Phù sa,136.58,Công nghệ cao,24.19
Cà phê,38.02,195.02,73.47,Phù sa,56.56,Truyền thống,15.1
Mía,16.53,72.87,89.71,Sét,68.45,Truyền thống,14.06
Ngô,21.92,269.37,73.09,Phù sa,133.8,Công nghệ cao,23.59
Khoai,35.16,116.4,67.89,Sét,101.48,Công nghệ cao,18.55
Cà phê,33.71,82.38,76.53,Sét,159.38,Công nghệ cao,23.11
Sắn,19.61,272.19,63.26,Sét,147.84,Công nghệ cao,24.9
Hồ tiêu,20.23,288.91,43.01,Thịt,176.84,Truyền thống,27.62
Ngô,24.26,265.53,68.11,Thịt,153.87,Công nghệ cao,26.44
Hồ tiêu,27.11,252.38,87.88,Phù sa,114.49,Công nghệ cao,22.95
Lúa,30.46,213.81,48.77,Phù sa,150.94,Công nghệ cao,23.73
Sắn,24.22,187.71,74.5,Thịt,91.31,Truyền thống,18.36
Sắn,26.56,71.75,50.05,Cát,95.95,Truyền thống,15.5
Lúa,33.69,152.11,66.79,Thịt,168.35,Truyền thống,24.94
Ngô,15.92,143.17,44.83,Sét,116.96,Truyền thống,18.59
Lúa,21.31,114.94,62.52,Thịt,169.76,Công nghệ cao,24.06
Hồ tiêu,32.83,230.86,77.81,Sét,173.36,Truyền thống,29.14
Mía,37.38,173.97,57.38,Phù sa,178.63,Công nghệ cao,27.15
Sắn,27.79,70.26,73.25,Cát,187.5,Công nghệ cao,25.05
Đậu tương,28.3,105.05,79.77,Phù sa,114.65,Công nghệ cao,19.09
Đậu tương,17.68,220.81,86.36,Sét,97.83,Công nghệ cao,20.18
Hồ tiêu,26.19,69.03,51.73,Sét,137.33,Truyền thống,21.02
Khoai,28.32,262.8,59.97,Sét,105.68,Truyền thống,20.25
Cà phê,21.06,173.79,47.62,Cát,140.16,Truyền thống,21.03
Lúa,21.73,170.15,89.62,Thịt,155.84,Công nghệ cao,25.7
Lúa,24.43,198.1,86.35,Phù sa,153.26,Công nghệ cao,25.29
Khoai,15.5,256.17,67,Phù sa,106.18,Công nghệ cao,20.09
Khoai,23.05,136.95,82.1,Thịt,75.03,Công nghệ cao,16.12
Hồ tiêu,20.29,219.5,66.05,Phù sa,114.58,Công nghệ cao,19.53
Hồ tiêu,23.19,191.43,71.18,Cát,71.39,Truyền thống,16.26
Khoai,17.99,116.76,44.46,Phù sa,183.51,Công nghệ cao,25.08
Sắn,37.26,269.66,77.76,Sét,101.88,Truyền thống,22.24
Hồ tiêu,29.84,249.36,46.39,Thịt,73.17,Công nghệ cao,16.68
Mía,31.98,214.61,81.3,Cát,53.82,Công nghệ cao,15.76
Hồ tiêu,34.73,262.65,79.1,Thịt,146.87,Truyền thống,25.59
Lúa,27.46,266.82,75.44,Cát,145.54,Truyền thống,25.65
Hồ tiêu,17.17,227.09,41.81,Sét,101.09,Công nghệ cao,18.32
Sắn,28.43,259.25,55.16,Thịt,60.76,Công nghệ cao,16.13
Khoai,29.67,224.37,53.16,Phù sa,111.44,Công nghệ cao,20.21
Lúa,33.64,220.04,58.01,Cát,96.68,Công nghệ cao,19.82
Hồ tiêu,25.79,204.65,44.38,Thịt,151.57,Truyền thống,24.3
Sắn,18.19,238.18,86.85,Phù sa,140.87,Công nghệ cao,24.25
Mía,22.09,89.65,67.69,Thịt,104.69,Truyền thống,17.42
Hồ tiêu,24.08,270.22,55.28,Thịt,82.68,Công nghệ cao,17.81
Sắn,31.15,267.96,59.85,Thịt,198.21,Truyền thống,30.38
Mía,29.27,57.31,62.36,Cát,118.1,Truyền thống,18.27
Khoai,23.9,256.45,70.03,Phù sa,153.24,Công nghệ cao,27.06
Hồ tiêu,39.66,82.22,65.78,Sét,71.08,Truyền thống,14.15
Mía,30.14,133.78,85.97,Cát,122.84,Công nghệ cao,21.78
Lúa,20.93,235.88,64.85,Cát,54.13,Truyền thống,15.62
Khoai,17.54,90.19,89.61,Cát,125.82,Công nghệ cao,20.09
Lúa,18.82,254.49,82.57,Sét,194.6,Truyền thống,30.85
Đậu tương,21.15,258.03,50.43,Phù sa,107.63,Công nghệ cao,20.68
Ngô,19.02,176.87,86.53,Phù sa,55.85,Công nghệ cao,14.86
Hồ tiêu,19.66,51.6,45.82,Phù sa,54.64,Truyền thống,10.83
Mía,22.13,121.76,80.87,Thịt,108.2,Truyền thống,19.4
Ngô,19.33,204.23,59.03,Thịt,74,Truyền thống,16.77
Ngô,37.42,295.3,83.9,Thịt,53.5,Truyền thống,17.33
Mía,17.01,207.95,83.4,Sét,163.43,Công nghệ cao,25.19
Khoai,28.11,114.95,80.3,Thịt,118.78,Truyền thống,19.89
Hồ tiêu,25.26,208.5,79.5,Sét,93.39,Công nghệ cao,18.76
Đậu tương,39.56,185,55.23,Phù sa,185.01,Truyền thống,27.8
Lúa,17.8,244.96,44.05,Thịt,67.42,Công nghệ cao,16.47
Sắn,24.95,76.75,60.15,Thịt,193.39,Công nghệ cao,25.7
Lúa,39.24,240.26,48.68,Cát,97.1,Công nghệ cao,19.92
Sắn,36.64,185.32,74.75,Sét,183.26,Công nghệ cao,28.14
Lúa,35.43,290.75,57.3,Phù sa,140.44,Truyền thống,25.77
Mía,21.45,135.47,88.78,Cát,174.01,Truyền thống,24.72
Đậu tương,19.27,208.16,72.05,Cát,197.6,Công nghệ cao,28.74
Hồ tiêu,31.72,283.01,81.12,Phù sa,93.26,Truyền thống,21.11
Sắn,38.23,75.63,46.63,Cát,194.17,Truyền thống,26.84
Hồ tiêu,28.92,284.31,83.1,Sét,108.42,Công nghệ cao,22.22
Hồ tiêu,29.29,221.97,86.14,Sét,107.83,Truyền thống,20.33
Hồ tiêu,22,66.96,64.35,Thịt,101.06,Truyền thống,16.79
Cà phê,34.24,125.24,70.31,Cát,131.21,Truyền thống,21.13
Khoai,19.68,227.04,78.24,Thịt,73.12,Công nghệ cao,16.59
Lúa,23.09,66.84,48.74,Cát,133.06,Truyền thống,18.95
Hồ tiêu,25.64,195.54,65.13,Sét,131.26,Công nghệ cao,22.18
Lúa,27.69,136.47,59.93,Sét,164.29,Truyền thống,24.04
Hồ tiêu,21.06,205.23,47.32,Sét,175.05,Truyền thống,24.98
Sắn,17.87,61.44,58.38,Cát,116.07,Truyền thống,17.93
Khoai,30.27,267.88,43.41,Sét,95.35,Công nghệ cao,20.35
Khoai,22.22,293.37,41.29,Cát,88.9,Công nghệ cao,19.43
Mía,29.53,292.22,46.76,Thịt,79.19,Truyền thống,18.07
Cà phê,18.86,237.41,88.16,Cát,58.65,Công nghệ cao,16.1
Mía,27.03,82.52,67.48,Thịt,101.37,Truyền thống,17.16
Mía,28.31,239.57,88.29,Cát,90.54,Công nghệ cao,20.21
Mía,16.3,56.15,61.62,Thịt,194.96,Công nghệ cao,25.62
Mía,23.42,55.53,55.59,Sét,133.66,Truyền thống,18.95
Mía,18.36,130.9,65.31,Thịt,102.09,Truyền thống,17.75
Đậu tương,16.58,172.16,61.98,Sét,137.07,Truyền thống,22.07
Khoai,39.75,242.6,45.28,Sét,70.88,Truyền thống,18.01
Mía,23.06,220.82,72.04,Thịt,116.61,Công nghệ cao,21.74
Hồ tiêu,35.25,161.48,50.8,Cát,143.94,Công nghệ cao,23.3
Khoai,21.37,118.41,70.98,Cát,123.33,Công nghệ cao,19.94
Khoai,32.04,299.28,72.51,Phù sa,110.27,Truyền thống,23.5
Ngô,34.01,156.55,47.6,Cát,199.08,Truyền thống,28.37
Đậu tương,29.89,162.85,43.07,Phù sa,182.05,Công nghệ cao,25.82
Mía,26.79,90.91,79.04,Cát,143.51,Truyền thống,22.58
Lúa,25.3,248.7,62.99,Cát,135.41,Công nghệ cao,24.02
Sắn,23.72,223.42,42.91,Sét,143.1,Công nghệ cao,23.03
Cà phê,38.24,105.19,89.74,Phù sa,80.2,Công nghệ cao,16.49
Hồ tiêu,35.77,70.6,42.89,Cát,109.27,Công nghệ cao,17.56
Lúa,39.13,220.12,74.75,Phù sa,55.92,Công nghệ cao,16.42
Đậu tương,18.11,213.63,89.18,Sét,121.33,Truyền thống,22.09
Sắn,33.27,118.31,51.96,Sét,131.45,Truyền thống,20.89
Đậu tương,38.46,287.72,47.11,Phù sa,84.16,Truyền thống,20.36
Hồ tiêu,19.53,87.76,46.07,Sét,194.6,Công nghệ cao,26.11
Khoai,16.66,158.08,55.16,Thịt,186.42,Công nghệ cao,26.39
Sắn,33.53,285.9,45.05,Thịt,158.32,Công nghệ cao,27.05
Khoai,29.36,154.93,74.61,Sét,130.01,Công nghệ cao,21.29
Hồ tiêu,36.05,209.63,43.11,Thịt,180.5,Truyền thống,27.54
Lúa,18.49,149.4,65.47,Cát,69.6,Truyền thống,15.74
Hồ tiêu,34.88,118.55,89.83,Phù sa,168.58,Công nghệ cao,25.56
Lúa,20.04,295.99,80.7,Cát,68.72,Công nghệ cao,17.79
Sắn,19.09,152.33,70.76,Phù sa,169.13,Công nghệ cao,24.71
Sắn,19.11,273.52,55.31,Sét,91.37,Truyền thống,18.68
Mía,35.36,107.49,71.19,Cát,181.56,Truyền thống,25.82
Đậu tương,31.63,103.28,66.35,Sét,191.61,Truyền thống,26.61
Mía,28.08,57.78,61.3,Sét,72.32,Công nghệ cao,12.93
Đậu tương,23.97,212.92,46.54,Phù sa,119.4,Công nghệ cao,20.8
Mía,36.93,142.13,84.33,Phù sa,197.15,Truyền thống,29.39
Khoai,24.81,266.09,62.49,Phù sa,122.51,Công nghệ cao,22.23
Sắn,35.41,168.3,49.73,Cát,179.53,Truyền thống,27.34
Lúa,25.98,292.05,58.39,Thịt,138.31,Công nghệ cao,24.98
Đậu tương,24.42,96.38,60.71,Phù sa,106.3,Truyền thống,18.12
Hồ tiêu,26.57,267.16,81.38,Phù sa,92.87,Công nghệ cao,20.07
Đậu tương,22.53,244.15,76.68,Cát,80.48,Truyền thống,18.79
Lúa,33.69,242.73,78.47,Phù sa,164.27,Truyền thống,26.77
Mía,27.57,261.2,40.55,Cát,107.98,Truyền thống,21.06
Đậu tương,20.81,240.26,60.81,Sét,126.69,Truyền thống,22.42
Cà phê,37.49,206.56,64.07,Phù sa,123.85,Truyền thống,22.59
Khoai,24.6,82.81,40.96,Phù sa,136.59,Truyền thống,19.19
Sắn,28.59,58.13,52.99,Sét,179.84,Công nghệ cao,23.72
Lúa,37.66,280.21,78.01,Sét,197.11,Công nghệ cao,31.84
Sắn,30.61,204.16,46.86,Sét,111.14,Công nghệ cao,19.66
